0.0	0.998	0.522	0.685	0.541	0.202	0.998	0.085
0.01	0.997	0.529	0.691	0.554	0.231	0.997	0.111
0.02	0.996	0.533	0.695	0.562	0.248	0.996	0.128
0.03	0.994	0.536	0.697	0.567	0.256	0.994	0.14
0.04	0.992	0.539	0.698	0.571	0.261	0.992	0.149
0.05	0.989	0.541	0.699	0.574	0.264	0.989	0.158
0.06	0.987	0.543	0.7	0.577	0.268	0.987	0.168
0.07	0.984	0.545	0.701	0.581	0.273	0.984	0.178
0.08	0.981	0.547	0.703	0.584	0.276	0.981	0.188
0.09	0.977	0.549	0.703	0.587	0.278	0.977	0.197
0.1	0.973	0.551	0.704	0.589	0.279	0.973	0.205
0.11	0.969	0.552	0.703	0.591	0.278	0.969	0.213
0.12	0.965	0.554	0.703	0.593	0.277	0.965	0.221
0.13	0.96	0.555	0.703	0.595	0.276	0.96	0.23
0.14	0.954	0.556	0.703	0.596	0.275	0.954	0.237
0.15	0.95	0.558	0.703	0.598	0.275	0.95	0.246
0.16	0.945	0.559	0.703	0.6	0.275	0.945	0.254
0.17	0.94	0.561	0.702	0.601	0.275	0.94	0.263
0.18	0.934	0.562	0.702	0.603	0.274	0.934	0.272
0.19	0.927	0.563	0.701	0.604	0.273	0.927	0.28
0.2	0.921	0.565	0.7	0.605	0.271	0.921	0.289
0.21	0.914	0.566	0.699	0.606	0.269	0.914	0.298
0.22	0.907	0.567	0.697	0.606	0.267	0.907	0.306
0.23	0.899	0.568	0.696	0.608	0.265	0.899	0.316
0.24	0.892	0.57	0.695	0.609	0.264	0.892	0.326
0.25	0.885	0.571	0.694	0.61	0.264	0.885	0.335
0.26	0.877	0.573	0.693	0.611	0.263	0.877	0.345
0.27	0.869	0.575	0.692	0.612	0.263	0.869	0.355
0.28	0.861	0.576	0.69	0.613	0.261	0.861	0.365
0.29	0.853	0.577	0.688	0.613	0.259	0.853	0.373
0.3	0.845	0.578	0.686	0.614	0.257	0.845	0.382
0.31	0.837	0.579	0.684	0.614	0.255	0.837	0.39
0.32	0.828	0.58	0.682	0.614	0.252	0.828	0.399
0.33	0.82	0.581	0.68	0.614	0.251	0.82	0.409
0.34	0.81	0.582	0.677	0.614	0.249	0.81	0.418
0.35	0.801	0.583	0.675	0.614	0.247	0.801	0.427
0.36	0.792	0.584	0.672	0.614	0.244	0.792	0.436
0.37	0.782	0.585	0.669	0.613	0.242	0.782	0.445
0.38	0.773	0.586	0.666	0.613	0.239	0.773	0.453
0.39	0.763	0.587	0.663	0.613	0.238	0.763	0.463
0.4	0.753	0.589	0.66	0.613	0.236	0.753	0.473
0.41	0.742	0.59	0.657	0.613	0.234	0.742	0.483
0.42	0.732	0.591	0.653	0.612	0.231	0.732	0.492
0.43	0.721	0.592	0.65	0.612	0.23	0.721	0.503
0.44	0.711	0.594	0.647	0.612	0.23	0.711	0.514
0.45	0.7	0.596	0.643	0.612	0.229	0.7	0.524
0.46	0.689	0.597	0.639	0.612	0.227	0.689	0.535
0.47	0.678	0.599	0.635	0.611	0.226	0.678	0.545
0.48	0.666	0.6	0.631	0.611	0.223	0.666	0.555
0.49	0.655	0.601	0.626	0.61	0.222	0.655	0.565
0.5	0.643	0.603	0.621	0.609	0.22	0.643	0.575
0.51	0.631	0.604	0.616	0.608	0.217	0.631	0.585
0.52	0.619	0.605	0.611	0.607	0.214	0.619	0.595
0.53	0.606	0.606	0.605	0.606	0.212	0.606	0.605
0.54	0.594	0.607	0.599	0.604	0.209	0.594	0.615
0.55	0.58	0.608	0.593	0.603	0.206	0.58	0.625
0.56	0.567	0.609	0.586	0.601	0.203	0.567	0.635
0.57	0.554	0.609	0.579	0.599	0.2	0.554	0.644
0.58	0.54	0.61	0.572	0.597	0.197	0.54	0.655
0.59	0.526	0.611	0.564	0.595	0.192	0.526	0.664
0.6	0.511	0.611	0.555	0.592	0.188	0.511	0.674
0.61	0.498	0.612	0.547	0.591	0.185	0.498	0.684
0.62	0.484	0.613	0.539	0.589	0.182	0.484	0.694
0.63	0.47	0.614	0.531	0.587	0.179	0.47	0.704
0.64	0.455	0.616	0.522	0.585	0.177	0.455	0.714
0.65	0.441	0.617	0.513	0.583	0.174	0.441	0.725
0.66	0.426	0.619	0.503	0.581	0.172	0.426	0.737
0.67	0.411	0.62	0.492	0.579	0.168	0.411	0.747
0.68	0.395	0.62	0.48	0.576	0.163	0.395	0.756
0.69	0.379	0.621	0.468	0.573	0.159	0.379	0.767
0.7	0.362	0.621	0.455	0.57	0.154	0.362	0.777
0.71	0.346	0.622	0.442	0.567	0.15	0.346	0.788
0.72	0.33	0.622	0.429	0.564	0.146	0.33	0.798
0.73	0.313	0.623	0.415	0.561	0.142	0.313	0.809
0.74	0.298	0.624	0.401	0.559	0.138	0.298	0.819
0.75	0.281	0.625	0.385	0.555	0.133	0.281	0.83
0.76	0.264	0.625	0.369	0.552	0.128	0.264	0.84
0.77	0.248	0.625	0.353	0.549	0.124	0.248	0.85
0.78	0.232	0.624	0.336	0.545	0.117	0.232	0.859
0.79	0.216	0.621	0.318	0.541	0.11	0.216	0.867
0.8	0.199	0.621	0.299	0.538	0.104	0.199	0.877
0.81	0.183	0.619	0.281	0.535	0.098	0.183	0.886
0.82	0.167	0.615	0.261	0.531	0.09	0.167	0.895
0.83	0.151	0.613	0.24	0.527	0.083	0.151	0.904
0.84	0.137	0.614	0.222	0.525	0.08	0.137	0.913
0.85	0.122	0.609	0.202	0.522	0.072	0.122	0.921
0.86	0.108	0.605	0.181	0.518	0.064	0.108	0.929
0.87	0.095	0.604	0.162	0.516	0.059	0.095	0.937
0.88	0.082	0.602	0.143	0.513	0.053	0.082	0.945
0.89	0.071	0.604	0.126	0.512	0.05	0.071	0.953
0.9	0.06	0.611	0.108	0.51	0.048	0.06	0.961
0.91	0.05	0.616	0.091	0.509	0.046	0.05	0.968
0.92	0.04	0.616	0.074	0.508	0.042	0.04	0.975
0.93	0.031	0.611	0.058	0.506	0.037	0.031	0.981
0.94	0.023	0.594	0.043	0.504	0.032	0.023	0.986
0.95	0.015	0.523	0.03	0.503	0.023	0.015	0.99
0.96	0.01	0.419	0.019	0.502	0.017	0.01	0.994
0.97	0.005	0.267	0.01	0.501	0.009	0.005	0.997
0.98	0.003	0.135	0.005	0.5	0.003	0.003	0.998
0.99	0.001	0.049	0.002	0.5	-0.0	0.001	0.999
1.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0
0.653
