0.87	0.228	0.767	0.345	0.578	0.22	0.228	0.93
0.88	0.209	0.768	0.322	0.572	0.21	0.209	0.936
0.89	0.19	0.771	0.298	0.566	0.2	0.19	0.942
0.9	0.171	0.772	0.273	0.559	0.188	0.171	0.948
0.91	0.153	0.771	0.248	0.553	0.176	0.153	0.954
0.92	0.134	0.771	0.222	0.546	0.164	0.134	0.96
0.93	0.116	0.771	0.196	0.54	0.152	0.116	0.966
0.94	0.099	0.764	0.169	0.534	0.138	0.099	0.971
0.95	0.082	0.754	0.143	0.529	0.124	0.082	0.977
0.96	0.065	0.728	0.116	0.523	0.109	0.065	0.982
0.97	0.049	0.673	0.089	0.518	0.091	0.049	0.986
0.98	0.034	0.581	0.063	0.512	0.071	0.034	0.991
0.99	0.02	0.422	0.036	0.507	0.046	0.02	0.995
1.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0
0.794
